Modem: RUTX11,
Manufacturer: Quectel
,Model: EG06
,Revision: EG06ELAR04A04M4G
,
Command,Expected,Response,Result,
AT,OK,OK,Passed,
AT+CMGF=1,OK,OK,Passed,
AT+CMGS=?,OK,OK,Passed,
AT,OK,OK,Passed,
ATE1,OK,OK,Passed,
AT+CMGF=1,OK,OK,Passed,
AT+CMGS=?,OK,OK,Passed,
AT,OK,OK,Passed,
ATE1,OK,OK,Passed,
AT+CMGF=1,OK,OK,Passed,
AT+CMGS=?,OK,OK,Passed,
AT,OK,OK,Passed,
ATE1,OK,OK,Passed,
AT+CMGF=1,OK,OK,Passed,
AT+CMGS=?,OK,OK,Passed,
AT,OK,OK,Passed,
ATE1,OK,OK,Passed,
AT+CMGF=1,OK,OK,Passed,
AT+CMGS=?,OK,OK,Passed,
AT,OK,OK,Passed,
